지역,등록번호,학원명,학원종류,분야구분,학원주소,우편번호,등록상태,설립자,일시수용능력인원,정원합계,교습과정,교습과목,정원,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,총교습비(시간당),경도,위도
포항시,1977,광명컴퓨터학원,학교교과교습학원,기타(대),"경상북도 포항시 남구 오천읍 원동로 66, , 3층  (오천읍)",790911,개원,이주혜,12,60,컴퓨터(소),자격증B,7,0,0,0,0,0,0,0,130000,7091,129.4030075,35.9689368
포항시,1948호,국가공무원경찰학원,평생직업교육학원,인문사회(대),"경상북도 포항시 북구 아호로 68, , 4층 (학산동)",791180,개원,주식회사 코리아에듀,100,200,성인고시,"경찰반(국어,영어,국사,형법,형소법,경찰학개론)",75,0,0,0,0,0,0,0,495000,8250,129.3700367,36.05786479
포항시,2352,굿쌤영어학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 장량로 197, , 아이코아302호 (양덕동)",37592,개원,조영길,36,18,보습,영어(중등),6,0,0,0,0,0,0,0,250000,8333,129.4021584,36.08216418
포항시,2345,그레영수학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 양학로 129, , 2층 3층 (득량동)",37690,개원,박경연,30,120,보습,영어(중등B),10,0,0,0,0,0,0,0,300000,10000,129.3430795,36.03281241
포항시,인210,교연학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 상공로 227-1, , 2층 3층 (해도동)",790839,개원,이광열,50,320,보습,"영,수특강(고등)",10,0,0,0,0,0,0,0,90000,13534,129.3706211,36.02305844
포항시,2053,굿모닝간호학원,평생직업교육학원,직업기술,"경상북도 포항시 북구 새천년대로1001번길 2-41, , 2층 3층 (창포동)",37633,개원,이수지,70,140,간호조무사,간호조무사,140,0,0,0,0,0,0,0,270000,2132,129.3698245,36.06020686
포항시,2175,굿티쳐아카데미학원,학교교과교습학원,종합(대),"경상북도 포항시 북구 양덕로 31, , 3층 (양덕동)",37593,개원,양종길,80,225,실용외국어(유아/초·중·고),영어3(한국인전담),20,0,0,0,0,0,0,0,400000,11905,129.4016774,36.08136171
포항시,2713,국어의힘학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 대이로 173, , 3층 (이동)",37675,개원,윤현정,93,72,보습,국어초등1,12,0,0,0,0,0,0,0,0,0,129.3388278,36.03023389
포항시,1988,그루브실용음악학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 장량로113번길 17, , 1층 (장성동)",791851,개원,김주형,20,82,음악,기타실용음악,5,0,0,0,0,0,0,0,160000,7385,129.3925243,36.08356246
포항시,2706,그로센딕코딩영재학원,학교교과교습학원,정보,"경상북도 포항시 남구 대이로 149, , 201호 일부(이동)",37676,개원,전현직,12,70,정보교과,블록코딩(초등),6,0,0,0,0,0,0,0,0,0,129.3396855,36.0283444
포항시,2429,굿티쳐어학원,학교교과교습학원,국제화,"경상북도 포항시 남구 상공로 73, , 2층 (상도동)",37765,개원,양종길,120,120,실용외국어(유아/초·중·고),영어4,20,0,0,0,0,0,0,0,350000,12500,129.3580785,36.01476129
